# Kaggle's tag vocabulary, from Meta Kaggle (kaggle/meta-kaggle, Tags.csv).
# A keyword outside this list is silently dropped at push time: the CLI prints
# 'not valid tags and could not be added' and the upload otherwise succeeds.
# Refresh: kaggle datasets download kaggle/meta-kaggle -f Tags.csv --unzip
name	slug	kernel_count	dataset_count
persian	persian	23	104
image super resolution	image-super-resolution	23	70
resnet cifar	resnet-cifar	23	6
urdu	urdu	23	68
tibble	tibble	22	5
mask r-cnn	mask-r-cnn	22	16
pose detection	pose-detection	22	88
speech synthesis	speech-synthesis	21	69
italian	italian	20	70
bit	bit	20	5
hungarian	hungarian	20	11
sam	sam	20	12
albert	albert	19	8
telugu	telugu	19	27
knitr	knitr	19	3
swin transformer	swin-transformer	18	4
wav2vec2	wav2vec2	18	8
sys	sys	18	3
tigrinya	tigrinya	18	19
image depth estimation	image-depth-estimation	18	47
rpart	rpart	18	0
gymnastics	gymnastics	18	37
audio command detection	audio-command-detection	17	12
average pooling	average-pooling	17	6
polish	polish	17	47
resnet v2 50	resnet-v2-50	16	4
efficientnetv2	efficientnetv2	16	5
auxiliary classifier	auxiliary-classifier	16	7
efficientnet-b7	efficientnet-b7	16	4
biggan-deep	biggan-deep	15	6
layer normalization	layer-normalization	15	2
image extrapolation	image-extrapolation	15	17
max pooling	max-pooling	15	0
tamil	tamil	15	52
deeplabv3plus	deeplabv3plus	14	9
volleyball	volleyball	14	140
water sports	water-sports	14	63
leaky relu	leaky-relu	14	3
subject	topic	14	3
anti-alias downsampling	anti-alias-downsampling	13	3
stringr	stringr	13	5
video text	video-text	13	37
amoebanet-a (n=18, f=448)	amoebanet-a-n18-f448	13	7
dense connections	dense-connections	12	2
text fill-mask	text-fill-mask	12	12
dance	dance	12	284
xlm-roberta	xlm-roberta	12	6
gc	gc	12	1
reshape2	reshape2	12	1
inception v1	inception-v1	11	1
tanh activation	tanh-activation	11	0
global average pooling	global-average-pooling	11	6
nepali	nepali	11	72
foreach	foreach	11	2
text sequence alignment	text-sequence-alignment	11	19
thai	thai	11	42
museums	museums	11	251
multiple	multiple	10	11
amharic	amharic	10	34
TabPFN	tabpfn	10	0
plyr	plyr	10	6
antarctica	antarctica	10	38
big transfer	big-transfer	10	2
jsonlite	jsonlite	10	17
inception resnet v2	inception-resnet-v2	10	1
deeplab (mobilenetv2_dm05_coco_voc_trainval)	deeplab-mobilenetv2-dm05-coco-voc-trainval	9	5
segformer	segformer	9	6
RColorBrewer	RColorBrewer	9	3
selective kernel	selective-kernel	9	1
deblurring	deblurring	9	11
irish	irish	9	8
biggan	biggan	9	7
armenian	armenian	9	16
residual block	residual-block	8	2
efficientnet-b4	efficientnet-b4	8	2
auto-updating data	auto-updating-data	8	5
squeeze-and-excitation block	squeeze-and-excitation-block	8	0
deit	deit	8	3
residual connection	residual-connection	8	0
ssd	ssd	7	2
kannada	kannada	7	26
admin	kaggle	7	4
rapids	rapids-ai	7	4
czech	czech	7	13
weight standardization	weight-standardization	7	5
assamese	assamese	7	11
azerbaijani	azerbaijani	7	17
malay	malay	6	14
finnish	finnish	6	12
group normalization	group-normalization	6	1
regnety	regnety	6	0
frame interpolation	frame-interpolation	6	5
image classification logits	image-classification-logits	6	17
sinhala	sinhala	6	23
deserts	deserts	6	29
video audio text	video-audio-text	6	22
progressive gan	progressive-gan	5	1
mountains	mountains	5	45
dutch	dutch	5	29
norwegian	norwegian	5	9
afrikaans	afrikaans	5	11
mish	mish	5	0
one-shot aggregation	one-shot-aggregation	5	2
latin	latin	5	3
dehazing	dehazing	5	13
greek	greek	5	9
javanese	javanese	5	3
nasnet-a (mobile)	nasnet-a-mobile	5	1
resnext block	resnext-block	5	0
resnet152x4-v2	resnet152x4-v2	5	0
efficientnet-b2	efficientnet-b2	5	1
blur pooling	blur-pooling	5	2
